Date, Open, High, Low, Close
12/07/17, 9395.36, 9422.56, 9351.55, 9351.78
12/05/17, 9406.74, 9458.38, 9381.55, 9406.04
12/04/17, 9445.34, 9453.07, 9387.22, 9412.64
12/01/17, 9468.27, 9468.27, 9374.52, 9379.86
11/30/17, 9491.46, 9499.55, 9449.87, 9464.34
11/29/17, 9504.78, 9547.24, 9504.78, 9478.52
11/28/17, 9430.91, 9464.25, 9423.60, 9461.14
11/27/17, 9499.69, 9514.26, 9431.09, 9431.09
11/24/17, 9515.84, 9554.47, 9500.44, 9520.64
11/23/17, 9506.52, 9522.78, 9476.90, 9517.12
11/22/17, 9592.86, 9622.48, 9554.28, 9554.28
11/21/17, 9572.56, 9614.27, 9516.35, 9583.22
11/20/17, 9512.08, 9588.40, 9486.80, 9572.95
11/17/17, 9554.82, 9572.90, 9498.77, 9511.33
11/16/17, 9490.25, 9563.65, 9490.25, 9544.39
11/15/17, 9492.47, 9492.47, 9386.61, 9455.17
11/14/17, 9536.50, 9574.64, 9477.60, 9492.58
11/13/17, 9594.80, 9599.60, 9485.00, 9534.28
11/10/17, 9609.18, 9638.22, 9580.09, 9580.09
11/09/17, 9752.57, 9752.57, 9599.97, 9610.18
11/08/17, 9797.69, 9816.97, 9706.46, 9751.76
11/07/17, 9817.43, 9826.93, 9754.23, 9760.90
11/06/17, 9775.61, 9831.53, 9773.59, 9815.15
11/03/17, 9767.07, 9794.84, 9735.66, 9775.13
11/02/17, 9766.85, 9788.95, 9732.05, 9753.92
11/01/17, 9724.54, 9789.62, 9721.79, 9755.04
10/31/17, 9731.31, 9742.49, 9679.91, 9679.91
10/30/17, 9800.05, 9818.05, 9711.77, 9728.07
10/27/17, 9706.09, 9811.81, 9670.50, 9797.79
10/26/17, 9888.52, 9888.52, 9664.47, 9689.81
10/25/17, 9943.32, 9943.32, 9887.93, 9896.63
10/24/17, 9966.39, 9996.32, 9924.46, 9954.21
10/23/17, 9918.14, 9967.43, 9879.34, 9966.96
10/20/17, 9824.73, 9905.93, 9824.73, 9902.00
10/19/17, 9822.93, 9841.64, 9745.06, 9806.71
10/18/17, 9823.52, 9851.89, 9801.97, 9822.46
10/17/17, 9812.28, 9825.77, 9797.12, 9814.38
10/16/17, 9815.40, 9829.14, 9799.88, 9806.22
10/13/17, 9807.11, 9817.92, 9775.12, 9806.78
10/12/17, 9781.92, 9807.47, 9764.44, 9787.09
10/11/17, 9799.18, 9812.19, 9770.11, 9783.75
10/10/17, 9808.49, 9808.49, 9772.89, 9792.14
10/09/17, 9775.26, 9815.15, 9751.50, 9812.77
